Features	SFB001_1	SFB002_1	SFB007_1	SFB013_1	SFB016_1	SFB017_1	SFB018_1	SFB019_1	SFB020_1	SFB021_1	SFB024_1	SFB025_1	SFB026_1	SFB029_1	SFB031_1	SFB032_1	SFB045_1	SFB046_1	SFB053_1	SFB054_1	SFB055_1	SFB058_1	SFB059_1	SFB062_1	SFB063_1	SFB065_1	SFB066_1	SFB068_1	SFB072_1	SFB073_1	SFB074_1	SFB076_1	SFB077_1	SFB078_1	SFB079_1	SFB080_1	SFB081_1	SFB082_1	SFB083_1	SFB085_1	SFB086_1	SFB091_1	SFB093_1	SFB096_1	SFB097_1	SFB099_1	SFB101_1	SFB102_1	SFB103_1	SFB105_1	SFB107_1	SFB109_1	SFB110_1	SFB113_1	SFB114_1	SFB115_1	SFB121_1	SFB123_1	SFB124_1	SFB127_1	SFB130_1	SFB132_1	SFB133_1	SFB003_1	SFB004_1	SFB008_1	SFB087_1	SFB090_1	SFB106_1	SFB112_1	SFB118_1	SFB119_1	SFB120_1	SFB122_1	SFB125_1	SFB126_1	SFB129_1
Genus_Ruminococcaceae_DTU089	0	0	0	0	0	2	0	3	1	3	0	0	0	0	0	22	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	3	3	0	0	0	0	2	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	2	1	0	0	0	0	1	16	0	9	0	0	0	0	0	13	0	0
Genus_Ruminococcaceae_Incertae_Sedis	4	0	0	0	0	76	0	5	2	122	0	0	3	0	0	4	11	0	14	6	0	1	0	161	176	0	0	5	20	11	0	29	18	0	0	0	0	221	0	11	1	0	8	0	0	0	0	222	10	148	1	34	14	18	55	0	4	21	5	0	4	189	5	4	78	25	32	3	23	9	36	4	21	43	67	4	34
Genus_Ruminococcaceae_unclassified	878	38	1107	131	134	382	0	7	277	274	1999	154	26	0	6	28	155	82	909	123	0	380	2	9	23	0	105	372	467	324	630	732	163	1329	0	0	245	13	282	398	1109	0	419	1144	935	0	131	290	116	76	96	149	389	1360	218	0	152	294	50	8	755	25	5	667	167	73	13	517	342	30	283	429	71	141	888	541	200
Genus_Ruminococcus	20	0	27	1154	8	7	0	34	98	54	38	60	26	0	0	8	38	48	86	126	0	269	164	91	31	0	0	38	70	4	0	58	0	0	0	0	1	0	15	87	63	0	55	0	0	0	0	32	81	73	12	89	19	159	23	0	0	7	122	63	5	30	8	0	37	45	57	30	196	0	0	0	1	1	66	25	119
Genus_Ruthenibacterium	4	4	10	0	0	8	0	32	17	19	10	3	10	41	0	74	1	0	0	4	8	0	0	8	9	7	14	6	14	12	30	61	9	23	3	0	2	148	17	8	0	0	9	6	0	0	0	27	44	15	0	4	4	0	2	5	14	0	73	0	5	12	17	60	0	24	278	217	15	46	21	5	0	36	14	0	4
Genus_Saccharimonadaceae_Incertae_Sedis	0	0	0	0	1	11	5	0	0	0	9	0	0	0	0	4	0	0	0	4	0	0	0	2	0	0	0	0	0	7	23	0	0	0	2	1	1	1	4	0	0	0	14	0	8	8	0	10	3	0	0	3	1	6	0	26	3	0	0	4	1	0	0	0	0	0	7	0	0	0	0	0	1	0	9	0	0
Genus_Saccharimonadaceae_TM7x	0	0	0	0	0	4	6	0	0	6	9	0	1	6	0	0	0	2	0	0	0	0	0	3	0	1	0	0	1	0	15	7	2	0	3	0	7	0	2	0	1	3	3	0	21	16	2	6	9	0	3	0	3	28	1	36	4	2	3	5	6	1	2	0	0	0	10	0	0	0	0	0	3	0	7	2	0
Genus_Saccharimonadaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Genus_Saccharimonadales_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	4	0	0	0	0	0	0	0	2	0	6	2	0	3	0	3	0	0	0	0	0	3	2	0	0	0	5	0	0	0	0	0
Genus_Saccharimonadales_unclassified	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Genus_Sarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_Scardovia	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Genus_Schaalia	3	0	0	7	0	3	2	3	0	0	2	3	10	4	12	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	2	2	2	0	2	0	0	0	0	3	4	13	0	0	1	0	2	0	0	0	0	14	0	0	4	0	0	5	0	0	0	5	0	0	0	2	0	4	0	0	0	4	0
Genus_Segatella	505	0	0	0	3713	36	0	0	407	1171	0	0	22	0	0	142	0	0	718	0	0	0	0	245	0	0	0	5	200	28	36	0	0	0	0	0	0	2	162	602	0	218	170	3	0	0	507	463	2337	2045	19	5	1371	0	1516	0	1766	327	0	220	549	0	0	0	586	0	0	19	0	178	3	0	383	388	117	165	904
Genus_Selenomonadaceae_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_Sellimonas	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	38	0	0	0	0	2	0	0	0	0	31	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	26	0	4	9	13	0	0	0	0	15	0	0
Genus_Senegalimassilia	5	0	0	0	1	0	0	0	2	0	7	0	18	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	6	7	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	9	3	4	0	13	0	0	14	0	3	1	0	0	9	0	0	0	3	0	0	0	0	53	8	0	10	0	0	0	4
