Features	SFB001_1	SFB002_1	SFB007_1	SFB013_1	SFB016_1	SFB017_1	SFB018_1	SFB019_1	SFB020_1	SFB021_1	SFB024_1	SFB025_1	SFB026_1	SFB029_1	SFB031_1	SFB032_1	SFB045_1	SFB046_1	SFB053_1	SFB054_1	SFB055_1	SFB058_1	SFB059_1	SFB062_1	SFB063_1	SFB065_1	SFB066_1	SFB068_1	SFB072_1	SFB073_1	SFB074_1	SFB076_1	SFB077_1	SFB078_1	SFB079_1	SFB080_1	SFB081_1	SFB082_1	SFB083_1	SFB085_1	SFB086_1	SFB091_1	SFB093_1	SFB096_1	SFB097_1	SFB099_1	SFB101_1	SFB102_1	SFB103_1	SFB105_1	SFB107_1	SFB109_1	SFB110_1	SFB113_1	SFB114_1	SFB115_1	SFB121_1	SFB123_1	SFB124_1	SFB127_1	SFB130_1	SFB132_1	SFB133_1	SFB003_1	SFB004_1	SFB008_1	SFB087_1	SFB090_1	SFB106_1	SFB112_1	SFB118_1	SFB119_1	SFB120_1	SFB122_1	SFB125_1	SFB126_1	SFB129_1
GenusDelta_Phocea	6	0	0	0	0	0	0	0	-2	0	1	0	11	0	0	0	4	0	0	-2	0	4	-5	7	0	0	0	0	0	0	-19	0	-3	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-2	-3	-2	0	0	2	-5	0	0	0	0	0	-4	0	0	0	0	-2	0	-25	0	-3	2	0	65	0	-5	0	0	-1
GenusDelta_Pigmentiphaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	-7	0	0	0	0	0	0	0	0	0
GenusDelta_Pluralibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GenusDelta_Porphyromonas	0	0	0	0	0	0	0	1	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	2	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	2	-8	0	0	0	0	0	0	3	1	0	0
GenusDelta_Prevotella	0	0	-3	-3	0	0	0	0	0	-21	0	-2	0	0	0	0	0	-2	0	0	-3	0	0	0	-3	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	2	3	1	8	0	3	0	0	3	-3	0	3	0	4	0	0	0	0	151	0	-19	0	0	0	0	0	-6	0	0	2	0	0	9	0	0	0
GenusDelta_Prevotellaceae_Incertae_Sedis	0	0	0	0	-109	0	0	0	0	-3	0	0	46	0	0	299	0	0	0	0	0	49	0	0	0	0	0	0	-14	56	0	0	0	-4	0	0	0	0	-69	0	0	0	4	0	0	0	0	0	0	68	1	250	-671	0	-376	0	0	-73	0	2	0	0	0	0	0	1	1	-3	0	0	0	0	4	0	0	0	0
GenusDelta_Prevotellaceae_NK3B31_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-96
GenusDelta_Prevotellaceae_UCG_003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
GenusDelta_Proteus	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	-79	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GenusDelta_Pseudoflavonifractor	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-4	0	0	0	3	0	0	0	0	0	0	0	0
GenusDelta_Pseudomonas	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	2	0	1	-2	95	0	0	36	0	0	0	-2	0
GenusDelta_Pseudoprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-31	0	0	0	-23	0	0	0	0	0	0	0	0	0	0	0	0
GenusDelta_Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
